,BTC_close,BTC_high,BTC_low,time,BTC_volume,_BTC_RETURNS,_TO_EXCHANGE_TRANSACTIONS,_FROM_EXCHANGE_TRANSACTIONS,_ONCHAIN_TRANSACTIONS,_ONCHAIN_VOLUME,close,high,low,volume,_RETURNS,_INTERCEPT,_REALIZED_VOL,_VOL_PROXY,_NEGATIVE_RETURNS,_BTC_REALIZED_VOL,_BTC_VOL_PROXY,_BTC_NEGATIVE_RETURNS
17,11462.08,11525.65,11019.88,2018-03-03,670377208.28,0.03912098055729629,21,639,660,2.768545149441079e+25,2.007e-05,2.076e-05,1.62e-05,751.98,0.12058966113050396,1,191.43015242211777,145.41866371569776,0,62.102631359758234,15.304511197643546,0
18,11525.59,11555.58,11071.53,2018-03-04,619123170.38,0.005525584941056039,32,676,708,1.9684309387800277e+25,1.863e-05,2.129e-05,1.781e-05,703.89,-0.07445297819475094,1,118.19043880285338,55.43245962068059,1,8.771594161320756,0.3053208894082527,0
19,11498.27,11692.25,11427.31,2018-03-05,580929761.79,-0.0023731913608120436,10,530,540,1.952164582549994e+25,1.858e-05,1.957e-05,1.752e-05,664.03,-0.00268745122780345,1,4.266196565631588,0.07222394101822271,1,3.767324492564889,0.0563203723503292,1
20,10717.77,11498.27,10568.64,2018-03-06,757885450.0,-0.0702934776552091,7,447,454,1.2047464710172334e+25,1.899e-05,1.936e-05,1.664e-05,532.81,0.021826791438501303,1,34.64895723884978,4.764088244998338,0,111.58743639933782,49.41173000863381,1
21,9878.68,10891.69,9442.72,2018-03-07,920596603.43,-0.08152421201973681,10,425,435,7.144152654261904e+24,1.706e-05,1.932e-05,1.577e-05,469.7,-0.10717598276066198,1,170.13659814219372,114.86691280713714,1,129.41567450083434,66.46197145439,1
22,9283.11,10094.61,9093.7,2018-03-08,749182648.53,-0.062182279630032866,4,375,379,6.489409042888359e+24,1.469e-05,1.762e-05,1.403e-05,423.23,-0.14956955187774668,1,237.4343027855355,223.71050848909954,1,98.71130871368607,38.666358999876,1
23,9227.51,9402.31,8343.25,2018-03-09,902760977.65,-0.006007380326590095,20,388,408,8.897317726634025e+24,1.818e-05,1.887e-05,1.327e-05,492.35,0.21315509856354709,1,338.37322889076347,454.35096043635474,0,9.536420625084615,0.36088618388301713,1
24,8769.42,9479.11,8691.36,2018-03-10,747874064.32,-0.050918569991074136,15,442,457,9.87444416778244e+24,1.861e-05,2.049e-05,1.6899999999999997e-05,805.05,0.02337698190482662,1,37.109808314057005,5.464832829785913,0,80.83072398685111,25.927007699359155,1
25,9516.68,9712.39,8454.08,2018-03-11,773323593.13,0.08177537883621078,27,336,363,1.178296482827323e+25,1.912e-05,2.047e-05,1.773e-05,542.04,0.027035836969096394,1,42.918060664028246,7.3093648061955925,0,129.81438946122563,66.8721258380579,0
26,9129.42,9877.08,8791.66,2018-03-12,700148093.57,-0.04154388272936416,29,290,319,6.338499379433475e+24,1.826e-05,1.917e-05,1.753e-05,630.69,-0.04602203245643288,1,73.05771162567851,21.180274714209617,1,65.94886931875882,17.258941922311614,1
27,9140.63,9464.92,8843.69,2018-03-13,632453920.43,0.0012271451262311217,30,211,241,6.290890678351071e+24,1.781e-05,1.842e-05,1.712e-05,208.01,-0.024952777865252074,1,39.611306851016735,6.226411231926138,1,1.9480324959549415,0.015058851608327956,0
28,8185.12,9328.29,7928.5,2018-03-14,699984595.27,-0.11041143919977436,25,192,217,3.5430872667313274e+24,1.791e-05,1.857e-05,1.702e-05,335.17,0.005599118771050016,1,8.888325497587275,0.3135013101232464,0,175.272726011599,121.90685906165471,1
29,8243.52,8419.81,7661.31,2018-03-15,690705982.03,0.0071095654892836535,29,204,233,5.060039500332307e+24,1.772e-05,1.852e-05,1.693e-05,301.36,-0.010665270895685808,1,16.93059267307131,1.1374800327836274,1,11.286085328625298,0.5054592144641311,0
30,8293.26,8592.86,7915.65,2018-03-16,593958677.35,0.006015699549951847,26,189,215,5.116816857263384e+24,1.766e-05,1.807e-05,1.725e-05,299.84,-0.003391750001121352,1,5.384236207361343,0.1150396807010669,1,9.549626982753487,0.36188641075290856,0
