,BTC_close,BTC_high,BTC_low,time,BTC_volume,_BTC_RETURNS,_TO_EXCHANGE_TRANSACTIONS,_FROM_EXCHANGE_TRANSACTIONS,_ONCHAIN_TRANSACTIONS,_ONCHAIN_VOLUME,close,high,low,volume,_RETURNS,_INTERCEPT,_REALIZED_VOL,_VOL_PROXY,_NEGATIVE_RETURNS,_BTC_REALIZED_VOL,_BTC_VOL_PROXY,_BTC_NEGATIVE_RETURNS
49,5869.12,5897.91,5580.63,2017-10-14,5655968.07,0.038150052667161205,187,289,476,1.2555330388624099e+25,3.399e-05,3.6e-05,3.326e-05,111.55,-0.03979763950936466,1,63.17679414550662,15.838521105173427,1,60.56133111679737,14.554265185071738,0
50,5699.83,5920.84,5401.54,2017-10-15,7076408.67,-0.029268357946190093,98,187,285,4.536215384544538e+24,3.5100000000000006e-05,3.613e-05,3.221e-05,161.12,0.03213476676379656,1,51.012360777640296,10.326432349636042,0,46.4620778453053,8.566367768663088,1
51,5764.76,5788.76,5585.42,2017-10-16,7668420.75,0.011327172491053972,121,153,274,5.45223971620855e+24,3.485e-05,3.577e-05,3.286e-05,141.18,-0.007147993265288477,1,11.347087531868997,0.5109380772060942,1,17.981328881315424,1.2830483664208985,0
52,5595.01,5774.99,5509.06,2017-10-17,7365861.7,-0.029888393253004963,112,170,282,4.831986364849003e+24,3.939e-05,4.162e-05,3.342e-05,283.84,0.12245883977628225,1,194.39738153372755,149.96167439353167,0,47.44635338084893,8.933160512462726,1
53,5550.26,5596.04,5039.32,2017-10-18,11243693.25,-0.008030355564477176,188,254,442,5.860389678857196e+24,3.905e-05,4.263e-05,3.764e-05,263.32,-0.008669100697119347,1,13.761770721093027,0.7515330689679516,1,12.747794257820832,0.6448661049192955,1
54,5664.96,5709.69,5490.53,2017-10-19,10811743.63,0.02045506004686537,167,284,451,7.453535167942516e+24,3.98e-05,4.215e-05,3.829e-05,222.97,0.019024036004696043,1,30.19972092070012,3.619139459079714,0,32.4714011621402,4.184094815208679,0
55,6009.89,6108.35,5600.13,2017-10-20,11695422.54,0.05910661199622069,206,230,436,9.955925432968384e+24,3.52e-05,4.075e-05,3.501e-05,247.87,-0.12282082968634,1,194.97202270120576,150.84956204840938,1,93.82883770895424,34.9359158167178,0
56,6023.95,6170.74,5850.86,2017-10-21,10221104.53,0.0023367447793471996,101,206,307,6.631231484749303e+24,3.382e-05,3.577e-05,3.216e-05,132.07,-0.03999373913361737,1,63.48809264828586,15.994991698878373,1,3.709467338145945,0.05460376163806393,0
57,5950.48,6059.85,5720.28,2017-10-22,8155519.14,-0.012271301757731834,50,139,189,3.3603514125700983e+24,3.412e-05,3.516e-05,3.321e-05,99.97,0.008831379153043883,1,14.019379783605068,0.779932577448181,0,19.48008762839091,1.505848468293124,1
58,5914.35,6079.51,5622.87,2017-10-23,10827268.63,-0.00609028729051353,46,133,179,1.12303050963279e+25,3.241e-05,3.498e-05,3.225e-05,102.65,-0.05141670547002164,1,81.62148954475992,26.436776013909533,1,9.66803135018228,0.3709159928099063,1
