,close,conversionSymbol,conversionType,high,low,open,time,volumefrom,volumeto
0,0.0,,direct,0.0,0.0,0.0,1405209600,0.0,0.0
1,0.0,,direct,0.0,0.0,0.0,1405296000,0.0,0.0
2,0.0,,direct,0.0,0.0,0.0,1405382400,0.0,0.0
3,0.0,,direct,0.0,0.0,0.0,1405468800,0.0,0.0
4,0.0,,direct,0.0,0.0,0.0,1405555200,0.0,0.0
5,0.0,,direct,0.0,0.0,0.0,1405641600,0.0,0.0
6,0.0,,direct,0.0,0.0,0.0,1405728000,0.0,0.0
7,0.0,,direct,0.0,0.0,0.0,1405814400,0.0,0.0
8,0.0,,direct,0.0,0.0,0.0,1405900800,0.0,0.0
9,0.0,,direct,0.0,0.0,0.0,1405987200,0.0,0.0
10,0.0,,direct,0.0,0.0,0.0,1406073600,0.0,0.0
11,0.0,,direct,0.0,0.0,0.0,1406160000,0.0,0.0
12,0.0,,direct,0.0,0.0,0.0,1406246400,0.0,0.0
13,0.0,,direct,0.0,0.0,0.0,1406332800,0.0,0.0
14,0.0,,direct,0.0,0.0,0.0,1406419200,0.0,0.0
15,0.0,,direct,0.0,0.0,0.0,1406505600,0.0,0.0
16,0.0,,direct,0.0,0.0,0.0,1406592000,0.0,0.0
17,0.0,,direct,0.0,0.0,0.0,1406678400,0.0,0.0
18,0.0,,direct,0.0,0.0,0.0,1406764800,0.0,0.0
19,0.0,,direct,0.0,0.0,0.0,1406851200,0.0,0.0
20,0.0,,direct,0.0,0.0,0.0,1406937600,0.0,0.0
21,0.0,,direct,0.0,0.0,0.0,1407024000,0.0,0.0
22,0.0,,direct,0.0,0.0,0.0,1407110400,0.0,0.0
23,0.0,,direct,0.0,0.0,0.0,1407196800,0.0,0.0
24,0.0,,direct,0.0,0.0,0.0,1407283200,0.0,0.0
25,0.0,,direct,0.0,0.0,0.0,1407369600,0.0,0.0
26,0.0,,direct,0.0,0.0,0.0,1407456000,0.0,0.0
27,0.0,,direct,0.0,0.0,0.0,1407542400,0.0,0.0
28,0.0,,direct,0.0,0.0,0.0,1407628800,0.0,0.0
29,0.0,,direct,0.0,0.0,0.0,1407715200,0.0,0.0
30,0.0,,direct,0.0,0.0,0.0,1407801600,0.0,0.0
31,0.0,,direct,0.0,0.0,0.0,1407888000,0.0,0.0
32,0.0,,direct,0.0,0.0,0.0,1407974400,0.0,0.0
33,0.0,,direct,0.0,0.0,0.0,1408060800,0.0,0.0
34,0.0,,direct,0.0,0.0,0.0,1408147200,0.0,0.0
35,0.0,,direct,0.0,0.0,0.0,1408233600,0.0,0.0
36,0.0,,direct,0.0,0.0,0.0,1408320000,0.0,0.0
37,0.0,,direct,0.0,0.0,0.0,1408406400,0.0,0.0
38,0.0,,direct,0.0,0.0,0.0,1408492800,0.0,0.0
39,0.0,,direct,0.0,0.0,0.0,1408579200,0.0,0.0
40,0.0,,direct,0.0,0.0,0.0,1408665600,0.0,0.0
41,0.0,,direct,0.0,0.0,0.0,1408752000,0.0,0.0
42,0.0,,direct,0.0,0.0,0.0,1408838400,0.0,0.0
43,0.0,,direct,0.0,0.0,0.0,1408924800,0.0,0.0
44,0.0,,direct,0.0,0.0,0.0,1409011200,0.0,0.0
45,0.0,,direct,0.0,0.0,0.0,1409097600,0.0,0.0
46,0.0,,direct,0.0,0.0,0.0,1409184000,0.0,0.0
47,0.0,,direct,0.0,0.0,0.0,1409270400,0.0,0.0
48,0.0,,direct,0.0,0.0,0.0,1409356800,0.0,0.0
49,0.0,,direct,0.0,0.0,0.0,1409443200,0.0,0.0
50,0.0,,direct,0.0,0.0,0.0,1409529600,0.0,0.0
51,0.0,,direct,0.0,0.0,0.0,1409616000,0.0,0.0
52,0.0,,direct,0.0,0.0,0.0,1409702400,0.0,0.0
53,0.0,,direct,0.0,0.0,0.0,1409788800,0.0,0.0
54,0.0,,direct,0.0,0.0,0.0,1409875200,0.0,0.0
55,0.0,,direct,0.0,0.0,0.0,1409961600,0.0,0.0
56,0.0,,direct,0.0,0.0,0.0,1410048000,0.0,0.0
57,0.0,,direct,0.0,0.0,0.0,1410134400,0.0,0.0
58,0.0,,direct,0.0,0.0,0.0,1410220800,0.0,0.0
59,0.0,,direct,0.0,0.0,0.0,1410307200,0.0,0.0
60,0.0,,direct,0.0,0.0,0.0,1410393600,0.0,0.0
61,0.0,,direct,0.0,0.0,0.0,1410480000,0.0,0.0
62,0.0,,direct,0.0,0.0,0.0,1410566400,0.0,0.0
63,0.0,,direct,0.0,0.0,0.0,1410652800,0.0,0.0
64,0.0,,direct,0.0,0.0,0.0,1410739200,0.0,0.0
65,0.0,,direct,0.0,0.0,0.0,1410825600,0.0,0.0
66,0.0,,direct,0.0,0.0,0.0,1410912000,0.0,0.0
67,0.0,,direct,0.0,0.0,0.0,1410998400,0.0,0.0
68,0.0,,direct,0.0,0.0,0.0,1411084800,0.0,0.0
69,0.0,,direct,0.0,0.0,0.0,1411171200,0.0,0.0
70,0.0,,direct,0.0,0.0,0.0,1411257600,0.0,0.0
71,0.0,,direct,0.0,0.0,0.0,1411344000,0.0,0.0
72,0.0,,direct,0.0,0.0,0.0,1411430400,0.0,0.0
73,0.0,,direct,0.0,0.0,0.0,1411516800,0.0,0.0
74,0.0,,direct,0.0,0.0,0.0,1411603200,0.0,0.0
75,0.0,,direct,0.0,0.0,0.0,1411689600,0.0,0.0
76,0.0,,direct,0.0,0.0,0.0,1411776000,0.0,0.0
77,0.0,,direct,0.0,0.0,0.0,1411862400,0.0,0.0
78,0.0,,direct,0.0,0.0,0.0,1411948800,0.0,0.0
79,0.0,,direct,0.0,0.0,0.0,1412035200,0.0,0.0
80,0.0,,direct,0.0,0.0,0.0,1412121600,0.0,0.0
81,0.0,,direct,0.0,0.0,0.0,1412208000,0.0,0.0
82,0.0,,direct,0.0,0.0,0.0,1412294400,0.0,0.0
83,0.0,,direct,0.0,0.0,0.0,1412380800,0.0,0.0
84,0.0,,direct,0.0,0.0,0.0,1412467200,0.0,0.0
85,0.0,,direct,0.0,0.0,0.0,1412553600,0.0,0.0
86,0.0,,direct,0.0,0.0,0.0,1412640000,0.0,0.0
87,0.0,,direct,0.0,0.0,0.0,1412726400,0.0,0.0
88,0.0,,direct,0.0,0.0,0.0,1412812800,0.0,0.0
89,0.0,,direct,0.0,0.0,0.0,1412899200,0.0,0.0
90,0.0,,direct,0.0,0.0,0.0,1412985600,0.0,0.0
91,0.0,,direct,0.0,0.0,0.0,1413072000,0.0,0.0
92,0.0,,direct,0.0,0.0,0.0,1413158400,0.0,0.0
93,0.0,,direct,0.0,0.0,0.0,1413244800,0.0,0.0
94,0.0,,direct,0.0,0.0,0.0,1413331200,0.0,0.0
